Thomas3021	Thomas Riddle	Individual	Thomas Riddle (1880–1943) was a very wealthy Muggle who owned most of the town of Little Hangleton.	muggle	MALE	http://harrypotter.wikia.com/Thomas Riddle	[Thomas Riddle,]	[]
Fleur492	Fleur Isabelle Weasley	Individual	Fleur Isabelle Weasley (née Delacour) (b. c. 1977) was a French, quarter-Veela witch daughter of Apolline Delacour and her husband, and elder sister of Gabrielle.	daughter	FEMALE	http://harrypotter.wikia.com/Fleur Isabelle Weasley	[ Fleur Weasley,Fleur Delacour,]	[]
Crabbe3382	Mr Crabbe	Individual	Mr Crabbe was a wizard, a Death Eater, and the father of Vincent Crabbe.	wizard	MALE	http://harrypotter.wikia.com/Mr Crabbe	[Mr Crabbe,Crabbe,]	[]
Argus45	Argus Filch	Individual	Argus Filch was a Squib and the caretaker of Hogwarts School of Witchcraft and Wizardry since around 1973.	squib	UNKNOWN	http://harrypotter.wikia.com/Argus Filch	[Argus Filch,]	[]
Fergus4738	Fergus	Individual	Fergus (fl.		MALE	http://harrypotter.wikia.com/Fergus	[Fergus,]	[]
Scorpius5038	Scorpius Hyperion Malfoy	Individual	Scorpius Hyperion Malfoy (b. 2006) was a pure-blood wizard and the son of Draco and Astoria Malfoy (née Greengrass).	wizard	MALE	http://harrypotter.wikia.com/Scorpius Hyperion Malfoy	[Scorpius Malfoy,]	[]
Victoire5063	Victoire Weasley	Individual	Victoire Weasley (b. 2 May, early 2000s) Great Britain was a part-veela witch and the eldest child of Bill and Fleur Weasley (née Delacour).	witch	FEMALE	http://harrypotter.wikia.com/Victoire Weasley	[Victoire Weasley,]	[]
Isobel111263	Isobel McGonagall	Individual	Isobel McGonagall (née Ross) (fl.		FEMALE	http://harrypotter.wikia.com/Isobel McGonagall	[Isobel Ross,Isobel McGonagall,]	[]
Weasley378	Weasley family	Family	Weasley is the surname of a pure-blood family (though the most recent generation has many non-pureblood members).	surname	UNKNOWN	http://harrypotter.wikia.com/Weasley family	[a family of red-haired children,]	[]
Severus33	Severus Snape	Individual	Professor Severus Snape (9 January, 1960 – 2 May, 1998) was a half-pure-blood wizard serving as Potions Master (1981-1996), Defence Against the Dark Arts professor (1996-1997), and Headmaster (1997-1998) of Hogwarts School of Witchcraft and Wizardry, as well as a member of the Order of the Phoenix and a Death Eater.	wizard	MALE	http://harrypotter.wikia.com/Severus Snape	[Professor Severus Snape,Potions Master,Snape,]	[<Severus33,father,Tobias563>,<Severus33,mother,Eileen566>,]
