F,"Filemina Alchin",http://harrypotter.wikia.com/wiki/Filemina_Alchin","Filemina Alchin (b. 1670s/80s) was a Gryffindor student at Hogwarts School of Witchcraft and...","https://vignette2.wikia.nocookie.net/harrypotter/images/f/f7/Gryffindor_Captains_Plaque.jpg/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/1115/window-height/1115?cb=20090904233239"
F,"Hannah Abbott's mother",http://harrypotter.wikia.com/wiki/Hannah_Abbott%27s_mother","Mrs Abbott (d. 1996) was the mother of Hufflepuff student Hannah Abbott. During the Second...","null"
F,"Hannah Abbott",http://harrypotter.wikia.com/wiki/Hannah_Abbott","Hannah Abbott (b. 1979/1980) was a half-blood witch and a member of the Abbott family. In 1991...","https://vignette3.wikia.nocookie.net/harrypotter/images/b/b7/Harry-potter-goblet-of-fire-hannah.jpg/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/631/window-height/631?cb=20170731215859"
F,"Ernestina Abutor",http://harrypotter.wikia.com/wiki/Ernestina_Abutor","Ernestina Abutor (also known as Red Panther or Tina Estora) was an American wizarding criminal...","https://vignette4.wikia.nocookie.net/harrypotter/images/9/9f/Ernestina_Abutor_-_wanted_poster.png/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/259/window-height/259?cb=20170404170707"
F,"Zoe Accrington",http://harrypotter.wikia.com/wiki/Zoe_Accrington","Zoe Accrington was a Slytherin student at Hogwarts School of Witchcraft and Wizardry in the...","null"
F,"Agnes",http://harrypotter.wikia.com/wiki/Agnes","Agnes was a patient in the Janus Thickey Ward at St Mungo's Hospital for Magical Maladies and...","null"
F,"Sakura Akagi",http://harrypotter.wikia.com/wiki/Sakura_Akagi","Sakura Akagi was a Gryffindor student at Hogwarts School of Witchcraft and Wizardry in the...","null"
F,"Alannis",http://harrypotter.wikia.com/wiki/Alannis","Alannis was a female Ravenclaw student at Hogwarts. She was at least in her first year by 1996...","https://vignette3.wikia.nocookie.net/harrypotter/images/d/d5/Alannis.jpg/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/322/window-height/322?cb=20110901131638"
F,"Alastor Moody's mother",http://harrypotter.wikia.com/wiki/Alastor_Moody%27s_mother","Mrs Moody was a pure-blood witch who worked as an Auror. She married a fellow Auror, and...","null"
F,"Alastor Moody's spiders",http://harrypotter.wikia.com/wiki/Alastor_Moody%27s_spiders","At the beginning of the 1994–1995 school year, Barty Crouch Jr, impersonating Alastor Moody...","https://vignette3.wikia.nocookie.net/harrypotter/images/f/fc/Moody_Spider_GOF.png/revision/latest/window-crop/width/200/x-offset/143/y-offset/0/window-width/1085/window-height/1084?cb=20161206051041"
F,"Dennis Aldermaston's mother",http://harrypotter.wikia.com/wiki/Dennis_Aldermaston%27s_mother","Mrs Aldermaston was the mother of Hogwarts student Dennis Aldermaston. In 1996, her son hoped to...","null"
F,"Cyprien Alesi",http://harrypotter.wikia.com/wiki/Cyprien_Alesi","Cyprien Alesi was a witch and a Quidditch referee. "Cyprien" or'Cyprian' is from the Roman...","https://vignette3.wikia.nocookie.net/harrypotter/images/c/c0/CyprienAlesi.png/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/334/window-height/334?cb=20130325194408"
F,"Alexia Walkin Black",http://harrypotter.wikia.com/wiki/Alexia_Walkin_Black","Alexia Walkin Black was a pure-blood witch. She was an early member of the House of Black...","https://vignette2.wikia.nocookie.net/harrypotter/images/5/52/Alexia_Walkin_Black.jpg/revision/latest/window-crop/width/200/x-offset/21/y-offset/0/window-width/293/window-height/292?cb=20101021214755"
F,"Alice",http://harrypotter.wikia.com/wiki/Alice","Alice was a witch at Hogwarts School of Witchcraft and Wizardry. Alice was born in either Great...","https://vignette4.wikia.nocookie.net/harrypotter/images/7/7f/GirlBehindNeville.jpg/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/270/window-height/270?cb=20110618010340"
F,"Alice Longbottom's midwife",http://harrypotter.wikia.com/wiki/Alice_Longbottom%27s_midwife","This individual served as the midwife of Alice Longbottom following the birth of her infant son...","null"
F,"Alejandra Alonso",http://harrypotter.wikia.com/wiki/Alejandra_Alonso","Alejandra Alonso was a Brazilian witch and a Chaser for the 2014 Brazilian National Quidditch...","null"
F,"Pamela Alton's mother",http://harrypotter.wikia.com/wiki/Pamela_Alton%27s_mother","Mrs Alton was the mother of Hogwarts student Pamela Alton. Her daughter wanted a new broom for...","null"
F,"Pamela Alton",http://harrypotter.wikia.com/wiki/Pamela_Alton","Pamela Alton was a Ravenclaw student at Hogwarts School of Witchcraft and Wizardry in the 1990s...","null"
F,"Alys",http://harrypotter.wikia.com/wiki/Alys","Alys (born c. 1984-1985) was a witch who began attending Hogwarts School of Witchcraft and...","null"
F,"Amanda",http://harrypotter.wikia.com/wiki/Amanda","Amanda was a witch at Hogwarts School of Witchcraft and Wizardry. She was sorted in Ravenclaw in...","https://vignette1.wikia.nocookie.net/harrypotter/images/1/17/Amanda4.jpg/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/232/window-height/232?cb=20100101055032"
F,"Rosemary Ames",http://harrypotter.wikia.com/wiki/Rosemary_Ames","Rosemary Ames was a respected British horticulturalist. She lived in Devon, England, where she...","null"
F,"Rosana Amorim",http://harrypotter.wikia.com/wiki/Rosana_Amorim","Rosana Amorim was a witch who wrote the book Spellman's Syllabary. Appearances Harry Potter...","null"
F,"Jada Angela",http://harrypotter.wikia.com/wiki/Jada_Angela","Jada Angela was a Gryffindor student at Hogwarts School of Witchcraft and Wizardry. She once...","null"
